No_Fall/Subject17Activity10Trial1Camera1,544
Fall/Subject1Activity3Trial3Camera1,190
No_Fall/Subject3Activity9Trial3Camera2,169
No_Fall/Subject17Activity8Trial1Camera1,1043
Fall/Subject10Activity4Trial1Camera1,185
Fall/Subject1Activity1Trial3Camera1,194
No_Fall/Subject15Activity9Trial1Camera2,170
No_Fall/Subject14Activity7Trial2Camera1,1055
No_Fall/Subject7Activity10Trial3Camera2,566
Fall/Subject1Activity5Trial1Camera2,189
No_Fall/Subject10Activity6Trial1Camera2,1127
No_Fall/Subject2Activity11Trial3Camera1,936
Fall/Subject11Activity5Trial2Camera2,186
Fall/Subject16Activity4Trial1Camera2,168
Fall/Subject14Activity4Trial3Camera1,182
No_Fall/Subject1Activity10Trial1Camera2,530
No_Fall/Subject16Activity10Trial3Camera1,496
No_Fall/Subject7Activity6Trial2Camera1,1129
Fall/Subject10Activity2Trial2Camera2,180
Fall/Subject14Activity1Trial1Camera1,185
No_Fall/Subject12Activity7Trial3Camera2,1119
Fall/Subject13Activity1Trial1Camera1,176
Fall/Subject2Activity2Trial3Camera2,175
No_Fall/Subject8Activity10Trial1Camera1,543
Fall/Subject7Activity5Trial1Camera1,187
Fall/Subject12Activity3Trial3Camera1,192
Fall/Subject10Activity5Trial1Camera2,184
No_Fall/Subject17Activity9Trial3Camera1,176
No_Fall/Subject16Activity7Trial2Camera1,993
No_Fall/Subject12Activity9Trial2Camera2,186
Fall/Subject15Activity2Trial3Camera2,175
Fall/Subject9Activity2Trial3Camera1,181
Fall/Subject3Activity2Trial3Camera2,186
No_Fall/Subject13Activity9Trial2Camera1,178
Fall/Subject13Activity1Trial2Camera2,186
No_Fall/Subject14Activity10Trial1Camera1,507
No_Fall/Subject7Activity9Trial3Camera2,192
Fall/Subject4Activity2Trial3Camera2,191
No_Fall/Subject7Activity10Trial2Camera1,562
Fall/Subject3Activity1Trial1Camera2,188
No_Fall/Subject16Activity10Trial1Camera2,482
No_Fall/Subject12Activity11Trial3Camera2,1137
Fall/Subject2Activity1Trial1Camera2,171
Fall/Subject5Activity5Trial3Camera1,192
Fall/Subject10Activity1Trial3Camera2,177
No_Fall/Subject13Activity8Trial1Camera1,1090
No_Fall/Subject13Activity6Trial3Camera1,965
No_Fall/Subject12Activity11Trial3Camera1,1137
No_Fall/Subject17Activity7Trial2Camera1,996
No_Fall/Subject6Activity8Trial3Camera1,863
No_Fall/Subject3Activity7Trial1Camera2,1100
No_Fall/Subject15Activity10Trial1Camera2,492
No_Fall/Subject3Activity6Trial2Camera1,1105
Fall/Subject15Activity5Trial1Camera1,181
No_Fall/Subject11Activity6Trial1Camera1,1138
Fall/Subject11Activity5Trial2Camera1,186
No_Fall/Subject11Activity6Trial2Camera1,1141
No_Fall/Subject6Activity9Trial2Camera1,141
No_Fall/Subject4Activity7Trial2Camera1,1066
No_Fall/Subject8Activity6Trial1Camera1,1046
Fall/Subject15Activity3Trial2Camera2,180
No_Fall/Subject14Activity9Trial3Camera1,173
No_Fall/Subject4Activity7Trial1Camera2,1086
No_Fall/Subject4Activity6Trial3Camera2,1089
Fall/Subject2Activity4Trial2Camera1,167
Fall/Subject10Activity4Trial2Camera2,186
No_Fall/Subject14Activity10Trial2Camera2,504
Fall/Subject14Activity5Trial1Camera1,181
Fall/Subject1Activity4Trial3Camera1,193
No_Fall/Subject17Activity11Trial3Camera1,1036
No_Fall/Subject14Activity9Trial2Camera1,179
No_Fall/Subject15Activity10Trial3Camera2,507
No_Fall/Subject8Activity9Trial2Camera2,185
Fall/Subject9Activity4Trial3Camera1,168
No_Fall/Subject9Activity8Trial1Camera1,1069
No_Fall/Subject9Activity11Trial1Camera1,1094
Fall/Subject9Activity5Trial1Camera1,175
No_Fall/Subject10Activity11Trial1Camera2,1055
No_Fall/Subject13Activity11Trial1Camera1,1040
No_Fall/Subject17Activity6Trial1Camera1,1091
No_Fall/Subject13Activity10Trial2Camera1,504
Fall/Subject11Activity3Trial3Camera1,189
No_Fall/Subject5Activity11Trial3Camera2,1065
No_Fall/Subject5Activity9Trial2Camera1,193
No_Fall/Subject17Activity8Trial3Camera1,1061
No_Fall/Subject6Activity10Trial3Camera1,441
No_Fall/Subject13Activity8Trial1Camera2,1090
No_Fall/Subject16Activity7Trial2Camera2,993
No_Fall/Subject11Activity11Trial1Camera2,1084
No_Fall/Subject3Activity10Trial2Camera2,517
