Coffee_room/Videos/video_44,49,65,1
Home/Videos/video (7),128,144,0
Coffee_room/Videos/video_28,56,72,1
Coffee_room/Videos/video_34,304,320,0
Coffee_room/Videos/video_61,960,976,0
Coffee_room/Videos/video_36,416,432,0
Coffee_room/Videos/video_51,16,32,0
Coffee_room/Videos/video_66,16,32,0
Home/Videos/video (38),96,112,0
Coffee_room/Videos/video_38,230,246,1
Coffee_room/Videos/video_44,55,71,1
Coffee_room/Videos/video_19,100,116,1
Coffee_room/Videos/video_61,432,448,0
Home/Videos/video (6),114,130,1
Home/Videos/video (31),196,212,1
Coffee_room/Videos/video_33,96,112,1
Coffee_room/Videos/video_70,528,544,0
Coffee_room/Videos/video_4,119,135,1
Home/Videos/video (34),144,160,0
Coffee_room/Videos/video_54,0,16,0
Coffee_room/Videos/video_61,1024,1040,0
Coffee_room/Videos/video_17,0,16,0
Coffee_room/Videos/video_11,208,224,0
Coffee_room/Videos/video_40,270,286,1
Home/Videos/video (13),80,96,0
Coffee_room/Videos/video_20,353,369,1
Coffee_room/Videos/video_2,240,256,0
Coffee_room/Videos/video_20,304,320,0
Home/Videos/video (30),118,134,1
Coffee_room/Videos/video_8,156,172,1
Coffee_room/Videos/video_8,152,168,1
Home/Videos/video (38),144,160,0
Coffee_room/Videos/video_50,1376,1392,0
Home/Videos/video (11),136,152,1
Coffee_room/Videos/video_11,304,320,0
Home/Videos/video (16),240,256,0
Coffee_room/Videos/video_36,272,288,0
Coffee_room/Videos/video_6,147,163,1
Coffee_room/Videos/video_50,1825,1841,1
Home/Videos/video (1),192,208,0
Coffee_room/Videos/video_61,768,784,0
Home/Videos/video (29),176,192,0
Home/Videos/video (2),144,160,0
Home/Videos/video (31),64,80,0
Home/Videos/video (20),80,96,0
Coffee_room/Videos/video_36,1104,1120,1
Coffee_room/Videos/video_49,384,400,0
Coffee_room/Videos/video_49,32,48,0
Coffee_room/Videos/video_36,112,128,0
Home/Videos/video (45),64,80,0
Coffee_room/Videos/video_3,128,144,0
Coffee_room/Videos/video_67,128,144,0
Coffee_room/Videos/video_10,144,160,0
Home/Videos/video (31),192,208,0
Coffee_room/Videos/video_23,219,235,1
Home/Videos/video (30),80,96,0
Coffee_room/Videos/video_55,272,288,0
Coffee_room/Videos/video_44,47,63,1
Coffee_room/Videos/video_36,1087,1103,1
Coffee_room/Videos/video_12,144,160,0
Coffee_room/Videos/video_68,352,368,0
Home/Videos/video (26),128,144,1
Home/Videos/video (11),148,164,1
Coffee_room/Videos/video_8,16,32,0
Coffee_room/Videos/video_10,217,233,1
Coffee_room/Videos/video_3,239,255,1
Coffee_room/Videos/video_45,64,80,0
Coffee_room/Videos/video_15,42,58,1
Coffee_room/Videos/video_56,306,322,1
Coffee_room/Videos/video_46,160,176,1
Home/Videos/video (11),0,16,0
Coffee_room/Videos/video_68,832,848,0
Coffee_room/Videos/video_54,208,224,0
Coffee_room/Videos/video_29,256,272,0
Coffee_room/Videos/video_5,128,144,1
Coffee_room/Videos/video_68,992,1008,0
Home/Videos/video (56),128,144,0
Coffee_room/Videos/video_69,1200,1216,0
Coffee_room/Videos/video_52,85,101,1
Coffee_room/Videos/video_14,44,60,1
Coffee_room/Videos/video_32,198,214,1
Home/Videos/video (38),32,48,0
Coffee_room/Videos/video_34,325,341,1
Home/Videos/video (10),127,143,1
Coffee_room/Videos/video_50,1840,1856,0
Home/Videos/video (11),133,149,1
Coffee_room/Videos/video_49,422,438,1
Coffee_room/Videos/video_70,304,320,0
Coffee_room/Videos/video_57,461,477,1
